Agglomération,Population AU 2017,Formule (Aperçu),Latitude,Longitude
Paris,12628266,"0,370719669",48.8566,2.3522
Lyon,2323221,"0,068201265",45.7640,4.8357
Marseille - Aix-en-Provence,1760653,"0,051686328",43.2965,5.3698
Toulouse,1360829,"0,039948959",43.6047,1.4442
Bordeaux,1247977,"0,036636037",44.8378,-0.5792
Lille (partie française),1191117,"0,034966836",50.6292,3.0573
Nice,1006201,"0,029538379",43.7102,7.2620
Nantes,972828,"0,028558669",47.2184,-1.5536
Strasbourg (partie française),790087,"0,023194063",48.5734,7.7521
Rennes,733320,"0,021527591",48.1173,-1.6778
Grenoble,689840,"0,020251178",45.1885,5.7245
Rouen,666035,"0,01955235",49.4431,1.0993
Toulon,629334,"0,018474943",43.1242,5.9280
Montpellier,616296,"0,018092195",43.6119,3.8772
Douai - Lens,539666,"0,015842619",50.3700,3.0800
Avignon,530267,"0,015566698",43.9493,4.8055
Saint-Étienne,520640,"0,015284085",45.4397,4.3872
Tours,495379,"0,014542514",47.3941,0.6848
Clermont-Ferrand,485315,"0,014247072",45.7772,3.0870
Orléans,439343,"0,012897502",47.9025,1.9090
Nancy,435279,"0,012778198",48.6921,6.1844
Angers,422654,"0,012407574",47.4784,-0.5632
Caen,422152,"0,012392838",49.1829,-0.3707
Metz,390600,"0,011466586",49.1193,6.1757
Dijon,387382,"0,011372118",47.3220,5.0415
Valenciennes (partie française),369264,"0,01084024",50.3590,3.5230
Béthune,369151,"0,010836922",50.5330,2.6330
Le Mans,347626,"0,010205027",48.0061,0.1996
Genève - Annemasse (partie française),325696,"0,009561242",46.1944,6.2378
Perpignan,323388,"0,009493488",42.6887,2.8948
Reims,323022,"0,009482744",49.2583,4.0317
Brest,321364,"0,009434071",48.3904,-4.4861
