datetime,date,year,statut,slot_index,load_mw
1998-01-01 00:00:00,1998-01-01,1998,,0,40537
1998-01-01 00:30:00,1998-01-01,1998,,1,39610
1998-01-01 01:00:00,1998-01-01,1998,,2,39160
1998-01-01 01:30:00,1998-01-01,1998,,3,38672
1998-01-01 02:00:00,1998-01-01,1998,,4,38053
1998-01-01 02:30:00,1998-01-01,1998,,5,37791
1998-01-01 03:00:00,1998-01-01,1998,,6,37748
1998-01-01 03:30:00,1998-01-01,1998,,7,37856
1998-01-01 04:00:00,1998-01-01,1998,,8,37513
1998-01-01 04:30:00,1998-01-01,1998,,9,37271
1998-01-01 05:00:00,1998-01-01,1998,,10,47938
1998-01-01 05:30:00,1998-01-01,1998,,11,37894
1998-01-01 06:00:00,1998-01-01,1998,,12,38654
1998-01-01 06:30:00,1998-01-01,1998,,13,39418
1998-01-01 07:00:00,1998-01-01,1998,,14,40156
1998-01-01 07:30:00,1998-01-01,1998,,15,41144
1998-01-01 08:00:00,1998-01-01,1998,,16,41602
1998-01-01 08:30:00,1998-01-01,1998,,17,42753
1998-01-01 09:00:00,1998-01-01,1998,,18,44119
1998-01-01 09:30:00,1998-01-01,1998,,19,42879
1998-01-01 10:00:00,1998-01-01,1998,,20,41495
1998-01-01 10:30:00,1998-01-01,1998,,21,46521
1998-01-01 11:00:00,1998-01-01,1998,,22,40336
1998-01-01 11:30:00,1998-01-01,1998,,23,39154
1998-01-01 12:00:00,1998-01-01,1998,,24,38741
1998-01-01 12:30:00,1998-01-01,1998,,25,38441
1998-01-01 13:00:00,1998-01-01,1998,,26,38666
1998-01-01 13:30:00,1998-01-01,1998,,27,39544
1998-01-01 14:00:00,1998-01-01,1998,,28,41982
1998-01-01 14:30:00,1998-01-01,1998,,29,44013
1998-01-01 15:00:00,1998-01-01,1998,,30,45237
1998-01-01 15:30:00,1998-01-01,1998,,31,46035
1998-01-01 16:00:00,1998-01-01,1998,,32,47025
1998-01-01 16:30:00,1998-01-01,1998,,33,46519
1998-01-01 17:00:00,1998-01-01,1998,,34,46319
1998-01-01 17:30:00,1998-01-01,1998,,35,46211
1998-01-01 18:00:00,1998-01-01,1998,,36,45775
1998-01-01 18:30:00,1998-01-01,1998,,37,44567
1998-01-01 19:00:00,1998-01-01,1998,,38,43930
1998-01-01 19:30:00,1998-01-01,1998,,39,45499
1998-01-01 20:00:00,1998-01-01,1998,,40,46754
1998-01-01 20:30:00,1998-01-01,1998,,41,46102
1998-01-01 21:00:00,1998-01-01,1998,,42,45687
1998-01-01 21:30:00,1998-01-01,1998,,43,47092
1998-01-01 22:00:00,1998-01-01,1998,,44,46459
1998-01-01 22:30:00,1998-01-01,1998,,45,44704
1998-01-01 23:00:00,1998-01-01,1998,,46,43119
1998-01-01 23:30:00,1998-01-01,1998,,47,41639
1998-01-02 00:00:00,1998-01-02,1998,,0,38273
1998-01-02 00:30:00,1998-01-02,1998,,1,38060
1998-01-02 01:00:00,1998-01-02,1998,,2,38679
