datetime,date,year,statut,slot_index,load_mw
2008-12-31 23:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,0,58750.0
2008-12-31 23:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,1,57772.0
2009-01-01 00:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,2,57566.0
2009-01-01 00:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,3,57154.0
2009-01-01 01:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,4,56938.0
2009-01-01 01:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,5,56745.0
2009-01-01 02:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,6,56680.0
2009-01-01 02:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,7,56694.0
2009-01-01 03:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,8,56244.0
2009-01-01 03:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,9,56094.0
2009-01-01 04:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,10,67739.0
2009-01-01 04:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,11,56725.0
2009-01-01 05:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,12,57785.0
2009-01-01 05:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,13,59037.0
2009-01-01 06:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,14,60094.0
2009-01-01 06:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,15,61237.0
2009-01-01 07:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,16,62155.0
2009-01-01 07:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,17,63762.0
2009-01-01 08:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,18,65160.0
2009-01-01 08:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,19,63967.0
2009-01-01 09:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,20,62713.0
2009-01-01 09:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,21,65802.0
2009-01-01 10:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,22,61834.0
2009-01-01 10:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,23,60394.0
2009-01-01 11:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,24,59881.0
2009-01-01 11:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,25,59678.0
2009-01-01 12:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,26,59859.0
2009-01-01 12:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,27,60580.0
2009-01-01 13:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,28,63423.0
2009-01-01 13:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,29,66255.0
2009-01-01 14:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,30,67513.0
2009-01-01 14:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,31,68465.0
2009-01-01 15:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,32,65973.0
2009-01-01 15:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,33,69221.0
2009-01-01 16:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,34,69004.0
2009-01-01 16:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,35,68719.0
2009-01-01 17:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,36,67747.0
2009-01-01 17:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,37,66231.0
2009-01-01 18:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,38,65249.0
2009-01-01 18:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,39,66135.0
2009-01-01 19:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,40,67990.0
2009-01-01 19:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,41,66660.0
2009-01-01 20:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,42,66209.0
2009-01-01 20:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,43,65837.0
2009-01-01 21:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,44,65543.0
2009-01-01 21:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,45,63447.0
2009-01-01 22:00:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,46,61745.0
2009-01-01 22:30:00+00:00,2008-12-31 23:00:00+00:00,2009,Définitives,47,59957.0
2009-01-01 23:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,0,58675.0
2009-01-01 23:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,1,58703.0
2009-01-02 00:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,2,59744.0
2009-01-02 00:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,3,60584.0
2009-01-02 01:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,4,62024.0
2009-01-02 01:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,5,63288.0
2009-01-02 02:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,6,65067.0
2009-01-02 02:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,7,66604.0
2009-01-02 03:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,8,67354.0
2009-01-02 03:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,9,68324.0
2009-01-02 04:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,10,64713.0
2009-01-02 04:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,11,69748.0
2009-01-02 05:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,12,71021.0
2009-01-02 05:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,13,72019.0
2009-01-02 06:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,14,72424.0
2009-01-02 06:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,15,72995.0
2009-01-02 07:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,16,73435.0
2009-01-02 07:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,17,74064.0
2009-01-02 08:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,18,74901.0
2009-01-02 08:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,19,73404.0
2009-01-02 09:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,20,72550.0
2009-01-02 09:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,21,62438.0
2009-01-02 10:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,22,71922.0
2009-01-02 10:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,23,70294.0
2009-01-02 11:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,24,69433.0
2009-01-02 11:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,25,68984.0
2009-01-02 12:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,26,68990.0
2009-01-02 12:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,27,69914.0
2009-01-02 13:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,28,72852.0
2009-01-02 13:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,29,76000.0
2009-01-02 14:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,30,77305.0
2009-01-02 14:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,31,78355.0
2009-01-02 15:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,32,62650.0
2009-01-02 15:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,33,77746.0
2009-01-02 16:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,34,76551.0
2009-01-02 16:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,35,75267.0
2009-01-02 17:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,36,73758.0
2009-01-02 17:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,37,72000.0
2009-01-02 18:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,38,70623.0
2009-01-02 18:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,39,71407.0
2009-01-02 19:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,40,72963.0
2009-01-02 19:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,41,71519.0
2009-01-02 20:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,42,71114.0
2009-01-02 20:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,43,62695.0
2009-01-02 21:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,44,62626.0
2009-01-02 21:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,45,60904.0
2009-01-02 22:00:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,46,59868.0
2009-01-02 22:30:00+00:00,2009-01-01 23:00:00+00:00,2009,Définitives,47,58962.0
2009-01-02 23:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,0,62180.0
2009-01-02 23:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,1,61956.0
2009-01-03 00:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,2,62484.0
2009-01-03 00:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,3,62801.0
2009-01-03 01:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,4,63554.0
2009-01-03 01:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,5,64273.0
2009-01-03 02:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,6,65604.0
2009-01-03 02:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,7,66824.0
2009-01-03 03:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,8,67537.0
2009-01-03 03:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,9,68337.0
2009-01-03 04:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,10,69521.0
2009-01-03 04:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,11,70031.0
2009-01-03 05:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,12,71082.0
2009-01-03 05:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,13,71786.0
2009-01-03 06:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,14,71809.0
2009-01-03 06:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,15,72134.0
2009-01-03 07:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,16,72372.0
2009-01-03 07:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,17,72951.0
2009-01-03 08:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,18,73726.0
2009-01-03 08:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,19,72234.0
2009-01-03 09:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,20,70718.0
2009-01-03 09:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,21,67263.0
2009-01-03 10:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,22,70111.0
2009-01-03 10:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,23,68497.0
2009-01-03 11:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,24,67703.0
2009-01-03 11:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,25,67124.0
2009-01-03 12:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,26,66983.0
2009-01-03 12:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,27,67700.0
2009-01-03 13:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,28,70866.0
2009-01-03 13:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,29,74685.0
2009-01-03 14:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,30,76596.0
2009-01-03 14:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,31,77830.0
2009-01-03 15:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,32,67516.0
2009-01-03 15:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,33,77635.0
2009-01-03 16:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,34,76531.0
2009-01-03 16:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,35,75564.0
2009-01-03 17:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,36,74341.0
2009-01-03 17:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,37,72781.0
2009-01-03 18:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,38,71747.0
2009-01-03 18:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,39,72603.0
2009-01-03 19:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,40,74550.0
2009-01-03 19:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,41,73405.0
2009-01-03 20:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,42,73185.0
2009-01-03 20:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,43,67160.0
2009-01-03 21:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,44,67111.0
2009-01-03 21:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,45,65231.0
2009-01-03 22:00:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,46,63874.0
2009-01-03 22:30:00+00:00,2009-01-02 23:00:00+00:00,2009,Définitives,47,62783.0
