datetime,date,year,statut,slot_index,load_mw
2011-01-01 00:00:00,2011-01-01,2011,Définitives,0,61567
2011-01-01 00:30:00,2011-01-01,2011,Définitives,1,60506
2011-01-01 01:00:00,2011-01-01,2011,Définitives,2,60249
2011-01-01 01:30:00,2011-01-01,2011,Définitives,3,59779
2011-01-01 02:00:00,2011-01-01,2011,Définitives,4,59458
2011-01-01 02:30:00,2011-01-01,2011,Définitives,5,59205
2011-01-01 03:00:00,2011-01-01,2011,Définitives,6,59281
2011-01-01 03:30:00,2011-01-01,2011,Définitives,7,59483
2011-01-01 04:00:00,2011-01-01,2011,Définitives,8,59334
2011-01-01 04:30:00,2011-01-01,2011,Définitives,9,59414
2011-01-01 05:00:00,2011-01-01,2011,Définitives,10,70671
2011-01-01 05:30:00,2011-01-01,2011,Définitives,11,60203
2011-01-01 06:00:00,2011-01-01,2011,Définitives,12,61238
2011-01-01 06:30:00,2011-01-01,2011,Définitives,13,62289
2011-01-01 07:00:00,2011-01-01,2011,Définitives,14,63297
2011-01-01 07:30:00,2011-01-01,2011,Définitives,15,64502
2011-01-01 08:00:00,2011-01-01,2011,Définitives,16,65271
2011-01-01 08:30:00,2011-01-01,2011,Définitives,17,66871
2011-01-01 09:00:00,2011-01-01,2011,Définitives,18,68395
2011-01-01 09:30:00,2011-01-01,2011,Définitives,19,67158
2011-01-01 10:00:00,2011-01-01,2011,Définitives,20,65887
2011-01-01 10:30:00,2011-01-01,2011,Définitives,21,68887
2011-01-01 11:00:00,2011-01-01,2011,Définitives,22,65232
2011-01-01 11:30:00,2011-01-01,2011,Définitives,23,63930
2011-01-01 12:00:00,2011-01-01,2011,Définitives,24,63438
2011-01-01 12:30:00,2011-01-01,2011,Définitives,25,62991
2011-01-01 13:00:00,2011-01-01,2011,Définitives,26,63067
2011-01-01 13:30:00,2011-01-01,2011,Définitives,27,63623
2011-01-01 14:00:00,2011-01-01,2011,Définitives,28,65867
2011-01-01 14:30:00,2011-01-01,2011,Définitives,29,68327
2011-01-01 15:00:00,2011-01-01,2011,Définitives,30,69572
2011-01-01 15:30:00,2011-01-01,2011,Définitives,31,70584
2011-01-01 16:00:00,2011-01-01,2011,Définitives,32,69045
2011-01-01 16:30:00,2011-01-01,2011,Définitives,33,71024
2011-01-01 17:00:00,2011-01-01,2011,Définitives,34,70926
2011-01-01 17:30:00,2011-01-01,2011,Définitives,35,70532
2011-01-01 18:00:00,2011-01-01,2011,Définitives,36,69433
2011-01-01 18:30:00,2011-01-01,2011,Définitives,37,68257
2011-01-01 19:00:00,2011-01-01,2011,Définitives,38,67221
2011-01-01 19:30:00,2011-01-01,2011,Définitives,39,68287
2011-01-01 20:00:00,2011-01-01,2011,Définitives,40,70497
2011-01-01 20:30:00,2011-01-01,2011,Définitives,41,69320
2011-01-01 21:00:00,2011-01-01,2011,Définitives,42,69062
2011-01-01 21:30:00,2011-01-01,2011,Définitives,43,68830
2011-01-01 22:00:00,2011-01-01,2011,Définitives,44,68143
2011-01-01 22:30:00,2011-01-01,2011,Définitives,45,65950
2011-01-01 23:00:00,2011-01-01,2011,Définitives,46,64343
2011-01-01 23:30:00,2011-01-01,2011,Définitives,47,62676
2011-01-02 00:00:00,2011-01-02,2011,Définitives,0,59489
2011-01-02 00:30:00,2011-01-02,2011,Définitives,1,59038
2011-01-02 01:00:00,2011-01-02,2011,Définitives,2,59243
2011-01-02 01:30:00,2011-01-02,2011,Définitives,3,59312
2011-01-02 02:00:00,2011-01-02,2011,Définitives,4,59885
2011-01-02 02:30:00,2011-01-02,2011,Définitives,5,60103
2011-01-02 03:00:00,2011-01-02,2011,Définitives,6,60695
2011-01-02 03:30:00,2011-01-02,2011,Définitives,7,61488
2011-01-02 04:00:00,2011-01-02,2011,Définitives,8,62047
2011-01-02 04:30:00,2011-01-02,2011,Définitives,9,62746
2011-01-02 05:00:00,2011-01-02,2011,Définitives,10,67537
2011-01-02 05:30:00,2011-01-02,2011,Définitives,11,64082
2011-01-02 06:00:00,2011-01-02,2011,Définitives,12,65359
2011-01-02 06:30:00,2011-01-02,2011,Définitives,13,66615
2011-01-02 07:00:00,2011-01-02,2011,Définitives,14,67510
2011-01-02 07:30:00,2011-01-02,2011,Définitives,15,68299
2011-01-02 08:00:00,2011-01-02,2011,Définitives,16,68954
2011-01-02 08:30:00,2011-01-02,2011,Définitives,17,70386
2011-01-02 09:00:00,2011-01-02,2011,Définitives,18,71299
2011-01-02 09:30:00,2011-01-02,2011,Définitives,19,69652
2011-01-02 10:00:00,2011-01-02,2011,Définitives,20,67997
2011-01-02 10:30:00,2011-01-02,2011,Définitives,21,65099
2011-01-02 11:00:00,2011-01-02,2011,Définitives,22,67076
2011-01-02 11:30:00,2011-01-02,2011,Définitives,23,65683
2011-01-02 12:00:00,2011-01-02,2011,Définitives,24,65030
2011-01-02 12:30:00,2011-01-02,2011,Définitives,25,64395
2011-01-02 13:00:00,2011-01-02,2011,Définitives,26,64603
2011-01-02 13:30:00,2011-01-02,2011,Définitives,27,65453
2011-01-02 14:00:00,2011-01-02,2011,Définitives,28,68478
2011-01-02 14:30:00,2011-01-02,2011,Définitives,29,71935
2011-01-02 15:00:00,2011-01-02,2011,Définitives,30,73962
2011-01-02 15:30:00,2011-01-02,2011,Définitives,31,75665
