datetime,date,year,statut,slot_index,load_mw
2023-01-01 00:00:00,2023-01-01,2023,Définitives,0,39142
2023-01-01 00:30:00,2023-01-01,2023,Définitives,1,38294
2023-01-01 01:00:00,2023-01-01,2023,Définitives,2,38165
2023-01-01 01:30:00,2023-01-01,2023,Définitives,3,37934
2023-01-01 02:00:00,2023-01-01,2023,Définitives,4,38402
2023-01-01 02:30:00,2023-01-01,2023,Définitives,5,38415
2023-01-01 03:00:00,2023-01-01,2023,Définitives,6,38631
2023-01-01 03:30:00,2023-01-01,2023,Définitives,7,38871
2023-01-01 04:00:00,2023-01-01,2023,Définitives,8,39023
2023-01-01 04:30:00,2023-01-01,2023,Définitives,9,39223
2023-01-01 05:00:00,2023-01-01,2023,Définitives,10,46332
2023-01-01 05:30:00,2023-01-01,2023,Définitives,11,39878
2023-01-01 06:00:00,2023-01-01,2023,Définitives,12,40721
2023-01-01 06:30:00,2023-01-01,2023,Définitives,13,41408
2023-01-01 07:00:00,2023-01-01,2023,Définitives,14,42130
2023-01-01 07:30:00,2023-01-01,2023,Définitives,15,43026
2023-01-01 08:00:00,2023-01-01,2023,Définitives,16,43969
2023-01-01 08:30:00,2023-01-01,2023,Définitives,17,44612
2023-01-01 09:00:00,2023-01-01,2023,Définitives,18,44713
2023-01-01 09:30:00,2023-01-01,2023,Définitives,19,43856
2023-01-01 10:00:00,2023-01-01,2023,Définitives,20,43122
2023-01-01 10:30:00,2023-01-01,2023,Définitives,21,44780
2023-01-01 11:00:00,2023-01-01,2023,Définitives,22,43119
2023-01-01 11:30:00,2023-01-01,2023,Définitives,23,43020
2023-01-01 12:00:00,2023-01-01,2023,Définitives,24,42654
2023-01-01 12:30:00,2023-01-01,2023,Définitives,25,42221
2023-01-01 13:00:00,2023-01-01,2023,Définitives,26,41975
2023-01-01 13:30:00,2023-01-01,2023,Définitives,27,42172
2023-01-01 14:00:00,2023-01-01,2023,Définitives,28,44095
2023-01-01 14:30:00,2023-01-01,2023,Définitives,29,45880
2023-01-01 15:00:00,2023-01-01,2023,Définitives,30,46928
2023-01-01 15:30:00,2023-01-01,2023,Définitives,31,48076
2023-01-01 16:00:00,2023-01-01,2023,Définitives,32,45266
2023-01-01 16:30:00,2023-01-01,2023,Définitives,33,48361
2023-01-01 17:00:00,2023-01-01,2023,Définitives,34,47664
2023-01-01 17:30:00,2023-01-01,2023,Définitives,35,46841
2023-01-01 18:00:00,2023-01-01,2023,Définitives,36,46097
2023-01-01 18:30:00,2023-01-01,2023,Définitives,37,45203
2023-01-01 19:00:00,2023-01-01,2023,Définitives,38,44396
2023-01-01 19:30:00,2023-01-01,2023,Définitives,39,44717
2023-01-01 20:00:00,2023-01-01,2023,Définitives,40,46254
2023-01-01 20:30:00,2023-01-01,2023,Définitives,41,45521
2023-01-01 21:00:00,2023-01-01,2023,Définitives,42,45221
2023-01-01 21:30:00,2023-01-01,2023,Définitives,43,45235
2023-01-01 22:00:00,2023-01-01,2023,Définitives,44,44589
2023-01-01 22:30:00,2023-01-01,2023,Définitives,45,42909
2023-01-01 23:00:00,2023-01-01,2023,Définitives,46,41360
2023-01-01 23:30:00,2023-01-01,2023,Définitives,47,39970
2023-01-02 00:00:00,2023-01-02,2023,Définitives,0,38436
2023-01-02 00:30:00,2023-01-02,2023,Définitives,1,38718
2023-01-02 01:00:00,2023-01-02,2023,Définitives,2,40092
2023-01-02 01:30:00,2023-01-02,2023,Définitives,3,41309
2023-01-02 02:00:00,2023-01-02,2023,Définitives,4,43646
2023-01-02 02:30:00,2023-01-02,2023,Définitives,5,45349
2023-01-02 03:00:00,2023-01-02,2023,Définitives,6,47224
2023-01-02 03:30:00,2023-01-02,2023,Définitives,7,48891
2023-01-02 04:00:00,2023-01-02,2023,Définitives,8,49950
2023-01-02 04:30:00,2023-01-02,2023,Définitives,9,50819
2023-01-02 05:00:00,2023-01-02,2023,Définitives,10,44151
2023-01-02 05:30:00,2023-01-02,2023,Définitives,11,51703
2023-01-02 06:00:00,2023-01-02,2023,Définitives,12,52515
2023-01-02 06:30:00,2023-01-02,2023,Définitives,13,53095
2023-01-02 07:00:00,2023-01-02,2023,Définitives,14,53459
2023-01-02 07:30:00,2023-01-02,2023,Définitives,15,54236
2023-01-02 08:00:00,2023-01-02,2023,Définitives,16,55016
2023-01-02 08:30:00,2023-01-02,2023,Définitives,17,55045
2023-01-02 09:00:00,2023-01-02,2023,Définitives,18,54282
2023-01-02 09:30:00,2023-01-02,2023,Définitives,19,53335
2023-01-02 10:00:00,2023-01-02,2023,Définitives,20,52973
2023-01-02 10:30:00,2023-01-02,2023,Définitives,21,42044
2023-01-02 11:00:00,2023-01-02,2023,Définitives,22,53076
2023-01-02 11:30:00,2023-01-02,2023,Définitives,23,52911
2023-01-02 12:00:00,2023-01-02,2023,Définitives,24,52488
2023-01-02 12:30:00,2023-01-02,2023,Définitives,25,51871
2023-01-02 13:00:00,2023-01-02,2023,Définitives,26,51596
2023-01-02 13:30:00,2023-01-02,2023,Définitives,27,51923
2023-01-02 14:00:00,2023-01-02,2023,Définitives,28,53820
2023-01-02 14:30:00,2023-01-02,2023,Définitives,29,56325
2023-01-02 15:00:00,2023-01-02,2023,Définitives,30,57623
2023-01-02 15:30:00,2023-01-02,2023,Définitives,31,59567
2023-01-02 16:00:00,2023-01-02,2023,Définitives,32,42221
2023-01-02 16:30:00,2023-01-02,2023,Définitives,33,58988
2023-01-02 17:00:00,2023-01-02,2023,Définitives,34,57609
2023-01-02 17:30:00,2023-01-02,2023,Définitives,35,55769
2023-01-02 18:00:00,2023-01-02,2023,Définitives,36,54072
2023-01-02 18:30:00,2023-01-02,2023,Définitives,37,52690
2023-01-02 19:00:00,2023-01-02,2023,Définitives,38,51474
2023-01-02 19:30:00,2023-01-02,2023,Définitives,39,51641
2023-01-02 20:00:00,2023-01-02,2023,Définitives,40,53148
2023-01-02 20:30:00,2023-01-02,2023,Définitives,41,52444
2023-01-02 21:00:00,2023-01-02,2023,Définitives,42,52186
2023-01-02 21:30:00,2023-01-02,2023,Définitives,43,42094
2023-01-02 22:00:00,2023-01-02,2023,Définitives,44,41753
2023-01-02 22:30:00,2023-01-02,2023,Définitives,45,40260
2023-01-02 23:00:00,2023-01-02,2023,Définitives,46,39413
2023-01-02 23:30:00,2023-01-02,2023,Définitives,47,38626
2023-01-03 00:00:00,2023-01-03,2023,Définitives,0,45501
2023-01-03 00:30:00,2023-01-03,2023,Définitives,1,45790
