datetime,date,year,statut,slot_index,load_mw
2021-01-01 00:00:00,2021-01-01,2021,Définitives,0,57674
2021-01-01 00:30:00,2021-01-01,2021,Définitives,1,57109
2021-01-01 01:00:00,2021-01-01,2021,Définitives,2,57621
2021-01-01 01:30:00,2021-01-01,2021,Définitives,3,57620
2021-01-01 02:00:00,2021-01-01,2021,Définitives,4,58415
2021-01-01 02:30:00,2021-01-01,2021,Définitives,5,58588
2021-01-01 03:00:00,2021-01-01,2021,Définitives,6,58938
2021-01-01 03:30:00,2021-01-01,2021,Définitives,7,59329
2021-01-01 04:00:00,2021-01-01,2021,Définitives,8,59326
2021-01-01 04:30:00,2021-01-01,2021,Définitives,9,59688
2021-01-01 05:00:00,2021-01-01,2021,Définitives,10,66482
2021-01-01 05:30:00,2021-01-01,2021,Définitives,11,60508
2021-01-01 06:00:00,2021-01-01,2021,Définitives,12,61525
2021-01-01 06:30:00,2021-01-01,2021,Définitives,13,62355
2021-01-01 07:00:00,2021-01-01,2021,Définitives,14,63095
2021-01-01 07:30:00,2021-01-01,2021,Définitives,15,63967
2021-01-01 08:00:00,2021-01-01,2021,Définitives,16,64974
2021-01-01 08:30:00,2021-01-01,2021,Définitives,17,66216
2021-01-01 09:00:00,2021-01-01,2021,Définitives,18,66909
2021-01-01 09:30:00,2021-01-01,2021,Définitives,19,65243
2021-01-01 10:00:00,2021-01-01,2021,Définitives,20,63618
2021-01-01 10:30:00,2021-01-01,2021,Définitives,21,64389
2021-01-01 11:00:00,2021-01-01,2021,Définitives,22,62455
2021-01-01 11:30:00,2021-01-01,2021,Définitives,23,61304
2021-01-01 12:00:00,2021-01-01,2021,Définitives,24,60902
2021-01-01 12:30:00,2021-01-01,2021,Définitives,25,60513
2021-01-01 13:00:00,2021-01-01,2021,Définitives,26,60611
2021-01-01 13:30:00,2021-01-01,2021,Définitives,27,61401
2021-01-01 14:00:00,2021-01-01,2021,Définitives,28,63902
2021-01-01 14:30:00,2021-01-01,2021,Définitives,29,66240
2021-01-01 15:00:00,2021-01-01,2021,Définitives,30,67696
2021-01-01 15:30:00,2021-01-01,2021,Définitives,31,68935
2021-01-01 16:00:00,2021-01-01,2021,Définitives,32,64223
2021-01-01 16:30:00,2021-01-01,2021,Définitives,33,69549
2021-01-01 17:00:00,2021-01-01,2021,Définitives,34,69491
2021-01-01 17:30:00,2021-01-01,2021,Définitives,35,68596
2021-01-01 18:00:00,2021-01-01,2021,Définitives,36,67428
2021-01-01 18:30:00,2021-01-01,2021,Définitives,37,66237
2021-01-01 19:00:00,2021-01-01,2021,Définitives,38,65175
2021-01-01 19:30:00,2021-01-01,2021,Définitives,39,65829
2021-01-01 20:00:00,2021-01-01,2021,Définitives,40,68069
2021-01-01 20:30:00,2021-01-01,2021,Définitives,41,67278
2021-01-01 21:00:00,2021-01-01,2021,Définitives,42,67161
2021-01-01 21:30:00,2021-01-01,2021,Définitives,43,63688
2021-01-01 22:00:00,2021-01-01,2021,Définitives,44,62995
2021-01-01 22:30:00,2021-01-01,2021,Définitives,45,61113
2021-01-01 23:00:00,2021-01-01,2021,Définitives,46,59702
2021-01-01 23:30:00,2021-01-01,2021,Définitives,47,58341
2021-01-02 00:00:00,2021-01-02,2021,Définitives,0,59511
2021-01-02 00:30:00,2021-01-02,2021,Définitives,1,59414
2021-01-02 01:00:00,2021-01-02,2021,Définitives,2,60436
2021-01-02 01:30:00,2021-01-02,2021,Définitives,3,60976
2021-01-02 02:00:00,2021-01-02,2021,Définitives,4,62152
2021-01-02 02:30:00,2021-01-02,2021,Définitives,5,62914
2021-01-02 03:00:00,2021-01-02,2021,Définitives,6,64043
2021-01-02 03:30:00,2021-01-02,2021,Définitives,7,65106
2021-01-02 04:00:00,2021-01-02,2021,Définitives,8,66205
2021-01-02 04:30:00,2021-01-02,2021,Définitives,9,67227
2021-01-02 05:00:00,2021-01-02,2021,Définitives,10,65908
2021-01-02 05:30:00,2021-01-02,2021,Définitives,11,68828
2021-01-02 06:00:00,2021-01-02,2021,Définitives,12,70159
2021-01-02 06:30:00,2021-01-02,2021,Définitives,13,71024
2021-01-02 07:00:00,2021-01-02,2021,Définitives,14,71386
2021-01-02 07:30:00,2021-01-02,2021,Définitives,15,71821
2021-01-02 08:00:00,2021-01-02,2021,Définitives,16,72855
2021-01-02 08:30:00,2021-01-02,2021,Définitives,17,73876
2021-01-02 09:00:00,2021-01-02,2021,Définitives,18,74518
2021-01-02 09:30:00,2021-01-02,2021,Définitives,19,72761
2021-01-02 10:00:00,2021-01-02,2021,Définitives,20,71026
2021-01-02 10:30:00,2021-01-02,2021,Définitives,21,63726
