start_date,end_date,updated_date,consumption_mw
2025-01-01 00:00:00+01:00,2025-01-01 00:15:00+01:00,2025-01-01 23:44:39+01:00,64354
2025-01-01 00:15:00+01:00,2025-01-01 00:30:00+01:00,2025-01-01 23:44:39+01:00,64521
2025-01-01 00:30:00+01:00,2025-01-01 00:45:00+01:00,2025-01-01 23:44:39+01:00,63715
2025-01-01 00:45:00+01:00,2025-01-01 01:00:00+01:00,2025-01-01 23:44:39+01:00,62502
2025-01-01 01:00:00+01:00,2025-01-01 01:15:00+01:00,2025-01-01 23:44:39+01:00,61490
2025-01-01 01:15:00+01:00,2025-01-01 01:30:00+01:00,2025-01-01 23:44:39+01:00,61780
2025-01-01 01:30:00+01:00,2025-01-01 01:45:00+01:00,2025-01-01 23:44:39+01:00,61542
2025-01-01 01:45:00+01:00,2025-01-01 02:00:00+01:00,2025-01-01 23:44:40+01:00,61594
2025-01-01 02:00:00+01:00,2025-01-01 02:15:00+01:00,2025-01-01 23:44:40+01:00,61085
2025-01-01 02:15:00+01:00,2025-01-01 02:30:00+01:00,2025-01-01 23:44:40+01:00,61410
2025-01-01 02:30:00+01:00,2025-01-01 02:45:00+01:00,2025-01-01 23:44:39+01:00,60750
2025-01-01 02:45:00+01:00,2025-01-01 03:00:00+01:00,2025-01-01 23:44:39+01:00,60067
2025-01-01 03:00:00+01:00,2025-01-01 03:15:00+01:00,2025-01-01 23:44:39+01:00,59266
2025-01-01 03:15:00+01:00,2025-01-01 03:30:00+01:00,2025-01-01 23:44:39+01:00,58795
2025-01-01 03:30:00+01:00,2025-01-01 03:45:00+01:00,2025-01-01 23:44:39+01:00,58178
2025-01-01 03:45:00+01:00,2025-01-01 04:00:00+01:00,2025-01-01 23:44:39+01:00,57656
2025-01-01 04:00:00+01:00,2025-01-01 04:15:00+01:00,2025-01-01 23:44:39+01:00,56876
2025-01-01 04:15:00+01:00,2025-01-01 04:30:00+01:00,2025-01-01 23:44:39+01:00,56698
2025-01-01 04:30:00+01:00,2025-01-01 04:45:00+01:00,2025-01-01 23:44:39+01:00,56239
2025-01-01 04:45:00+01:00,2025-01-01 05:00:00+01:00,2025-01-01 23:44:39+01:00,55908
2025-01-01 05:00:00+01:00,2025-01-01 05:15:00+01:00,2025-01-01 23:44:39+01:00,55611
2025-01-01 05:15:00+01:00,2025-01-01 05:30:00+01:00,2025-01-01 23:44:39+01:00,56089
2025-01-01 05:30:00+01:00,2025-01-01 05:45:00+01:00,2025-01-01 23:44:39+01:00,55820
2025-01-01 05:45:00+01:00,2025-01-01 06:00:00+01:00,2025-01-01 23:44:39+01:00,55819
2025-01-01 06:00:00+01:00,2025-01-01 06:15:00+01:00,2025-01-01 23:44:39+01:00,55713
2025-01-01 06:15:00+01:00,2025-01-01 06:30:00+01:00,2025-01-01 23:44:39+01:00,56393
2025-01-01 06:30:00+01:00,2025-01-01 06:45:00+01:00,2025-01-01 23:44:39+01:00,56440
2025-01-01 06:45:00+01:00,2025-01-01 07:00:00+01:00,2025-01-01 23:44:39+01:00,56569
2025-01-01 07:00:00+01:00,2025-01-01 07:15:00+01:00,2025-01-01 23:44:39+01:00,56701
2025-01-01 07:15:00+01:00,2025-01-01 07:30:00+01:00,2025-01-01 23:44:39+01:00,56884
2025-01-01 07:30:00+01:00,2025-01-01 07:45:00+01:00,2025-01-01 23:44:39+01:00,57024
2025-01-01 07:45:00+01:00,2025-01-01 08:00:00+01:00,2025-01-01 23:44:39+01:00,57005
2025-01-01 08:00:00+01:00,2025-01-01 08:15:00+01:00,2025-01-01 23:44:39+01:00,57188
2025-01-01 08:15:00+01:00,2025-01-01 08:30:00+01:00,2025-01-01 23:44:39+01:00,57114
2025-01-01 08:30:00+01:00,2025-01-01 08:45:00+01:00,2025-01-01 23:44:39+01:00,57232
2025-01-01 08:45:00+01:00,2025-01-01 09:00:00+01:00,2025-01-01 23:44:39+01:00,57313
2025-01-01 09:00:00+01:00,2025-01-01 09:15:00+01:00,2025-01-01 23:44:39+01:00,57283
2025-01-01 09:15:00+01:00,2025-01-01 09:30:00+01:00,2025-01-01 23:44:39+01:00,57233
2025-01-01 09:30:00+01:00,2025-01-01 09:45:00+01:00,2025-01-01 23:44:39+01:00,57629
2025-01-01 09:45:00+01:00,2025-01-01 10:00:00+01:00,2025-01-01 23:44:39+01:00,58055
2025-01-01 10:00:00+01:00,2025-01-01 10:15:00+01:00,2025-01-01 23:44:39+01:00,58320
2025-01-01 10:15:00+01:00,2025-01-01 10:30:00+01:00,2025-01-01 23:44:39+01:00,58527
2025-01-01 10:30:00+01:00,2025-01-01 10:45:00+01:00,2025-01-01 23:44:39+01:00,58802
2025-01-01 10:45:00+01:00,2025-01-01 11:00:00+01:00,2025-01-01 23:44:39+01:00,59161
