Capacité installée agrégée par filière. 

Type;2021
Gaz;12718.98
Charbon;1810.49
Nucléaire;61370.0
Hydraulique STEP;5060.27
Éolien en mer;10.0
Géothermique;1.85
Autre;398.77
Déchets industriels;998.0
Biomasse;1346.3
Solaire;12016.35
Fioul;2971.14
Hydraulique lacs;8788.87
Hydraulique fil de l'eau / éclusée;11684.98
Éolien terrestre;19141.78
Marin;243.09

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
