date,temperature_2m,wind_speed_10m,cloud_cover,direct_radiation,diffuse_radiation
2024-01-01 00:00:00+00:00,7.3100004,26.87491,35.0,0.0,0.0
2024-01-01 01:00:00+00:00,7.3100004,25.570139,51.0,0.0,0.0
2024-01-01 02:00:00+00:00,7.16,25.7041,24.0,0.0,0.0
2024-01-01 03:00:00+00:00,6.96,25.199997,40.0,0.0,0.0
2024-01-01 04:00:00+00:00,6.8100004,24.774696,47.0,0.0,0.0
2024-01-01 05:00:00+00:00,6.66,23.565569,36.0,0.0,0.0
2024-01-01 06:00:00+00:00,6.41,22.322903,100.0,0.0,0.0
2024-01-01 07:00:00+00:00,6.21,20.696087,96.0,0.0,0.0
2024-01-01 08:00:00+00:00,5.91,19.35314,99.0,0.0,1.0
2024-01-01 09:00:00+00:00,6.66,19.35314,100.0,13.0,34.0
2024-01-01 10:00:00+00:00,7.51,16.375053,100.0,26.0,85.0
2024-01-01 11:00:00+00:00,8.51,18.775303,98.0,81.0,110.0
2024-01-01 12:00:00+00:00,9.26,19.08,64.0,134.0,109.0
2024-01-01 13:00:00+00:00,9.610001,19.386593,73.0,27.0,132.0
2024-01-01 14:00:00+00:00,9.91,19.881649,100.0,72.0,87.0
2024-01-01 15:00:00+00:00,9.610001,17.713316,100.0,34.0,59.0
2024-01-01 16:00:00+00:00,8.71,17.595861,100.0,4.0,22.0
2024-01-01 17:00:00+00:00,8.360001,19.721298,100.0,0.0,0.0
2024-01-01 18:00:00+00:00,8.66,22.450264,100.0,0.0,0.0
2024-01-01 19:00:00+00:00,8.76,24.798223,100.0,0.0,0.0
2024-01-01 20:00:00+00:00,8.76,26.6327,100.0,0.0,0.0
2024-01-01 21:00:00+00:00,8.91,30.500309,100.0,0.0,0.0
2024-01-01 22:00:00+00:00,9.51,34.366333,100.0,0.0,0.0
2024-01-01 23:00:00+00:00,9.96,34.162083,100.0,0.0,0.0
2024-01-02 00:00:00+00:00,10.41,33.857227,100.0,0.0,0.0
2024-01-02 01:00:00+00:00,11.110001,36.376038,100.0,0.0,0.0
2024-01-02 02:00:00+00:00,11.110001,34.802895,100.0,0.0,0.0
2024-01-02 03:00:00+00:00,11.21,36.71294,100.0,0.0,0.0
2024-01-02 04:00:00+00:00,11.01,37.290855,100.0,0.0,0.0
2024-01-02 05:00:00+00:00,10.96,35.538033,100.0,0.0,0.0
2024-01-02 06:00:00+00:00,11.01,35.65636,100.0,0.0,0.0
2024-01-02 07:00:00+00:00,10.91,33.71338,100.0,0.0,0.0
2024-01-02 08:00:00+00:00,10.91,33.847656,100.0,0.0,0.0
2024-01-02 09:00:00+00:00,11.360001,37.44346,100.0,0.0,8.0
2024-01-02 10:00:00+00:00,11.26,32.909985,100.0,0.0,14.0
2024-01-02 11:00:00+00:00,11.66,32.353966,100.0,0.0,36.0
2024-01-02 12:00:00+00:00,11.91,35.377213,100.0,0.0,51.0
2024-01-02 13:00:00+00:00,11.21,41.180286,100.0,0.0,28.0
2024-01-02 14:00:00+00:00,11.41,39.84307,100.0,0.0,24.0
